pdf_file,extracted_answer
Atezolizumab_for_adjuvant_treatment_of_resected_non-small-cell_lung_cancer.pdf,1. Yes – adjuvant treatment to date has added very minimal benefit. This would be a significant improvement to current SOC.
Avelumab_with_axitinib_for_untreated_advanced_renal_cell_carcinoma.pdf,"1. Avelumab plus axitinib is one of the first combinations of immunotherapy plus VEGFR inhibitor. Currently, UK cancer survival rates trail about 10 years behind other comparable European countries, including Italy and Austria. If the UK is to improve patient outcomes, including the patient experience as well as overall survival, it is vital that these novel combinations are made available to patients in order that they have the best possible care. If these combinations are not made available, it leaves UK patients at a major disadvantage in terms of the availability of innovative cancer treatments; these patients are likely to die prematurely compared to other kidney cancer patients in the rest of Europe and North America. Poor UK survival rates might possibly be due to the restrictions in clinical choice brought about by UK regulatory authorities. In the absence of biomarkers for the treatment of RCC, clinicians are not able to predict which patients will respond to which drug, and drug selection is accomplished by trial and error. Clinicians should have the ability to choose the most effective treatments for individual patients from those available, and without the avelumab plus axitinib combination, the clinician's choice of treatment is seriously compromised. Without treatment alternatives in the first-line, most patients will face disease progression. A choice of treatment is paramount for the effective management of the progression of this disease and maintenance of quality of life. Current first-line treatment options are not effective for everyone. Undue restrictions in accessing novel combination therapies would simply add unnecessary additional burden to patients with a terminal diagnosis. Having more choice in the first-line setting would enable patients and oncologists to individualise treatment plans according to specific disease/treatment history and contraindications, thereby enabling the best possible quality of life for the patient.

2. This is the first immunotherapy/TKI combination. Good prognosis RCC patients currently do not receive immunotherapy as a first line treatment. This would be an improvement."
Brentuximab_vedotin_in_combination_for_untreated_systemic_anaplastic_large_cell_lymphoma.pdf,"1. Yes, this is a paradigm shift in management for (Alk positive and Alk negative) ALCL. See above comments - first RCT to demonstrate significant PFS and OS advantaged in TNHL. In this case, the benefits were absolutely clear and practice-changing in the ~70% of patients in the ECHELON2 study who had ALCL. Additionally, it addresses the unmet need of relapse and death from disease.

2. Yes, this immunotherapeutic approach is innovative in its potential to make a significant and substantial impact on health-related benefits. This technology provides a huge step-change in the management of this condition. A+CHP results in prolonged PFS and OS. Yes – improvement in PFS/OS. There has been no prior randomised trial that has shown superiority for CHOP as 1st line treatment but the results from this treatment approach (CHOP) have been disappointing for this indication.

3. Yes, the evidence in ALCL is practice changing and will cure more patients with ALCL and improve the disease-free survival for others with comparable morbidity to CHOP. This is the first clinically important improvement in outcome over CHOP chemotherapy in a group of patients who are usually symptomatic, relapse early (usually within 12 months) and have poor survival outcomes. Yes, improvement in survival outcomes and cure for patients with ALCL."
Lorlatinib_for_previously_treated_ALK-positive_advanced_non-small-cell_lung_cancer.pdf,"1. Yes, the chemistry of lorlatinib is innovative in its brain penetration and activity against ALK resistance mutations. These attributes account for its clinical efficacy and potential to significantly enhance quality and duration of life for patients with ALK positive NSCLC.

2. No; has a major impact on CNS symptoms as described above. Control of CNS disease on progression of previous ALK inhibitor therapy."
"Ribociclib_with_an_aromatase_inhibitor_for_previously_untreated,_hormone_receptor-positive,_HER2-negative,_locally_advanced_or_metastatic_breast_cancer.pdf",NULL
Tofacitinib_for_treating_active_ankylosing_spondylitis.pdf,"1. Yes – improve pain, disease activity and quality of life for patients who have not responded to used therapies currently in use; Yes – drug with new mechanism of action; There is significant unmet need for a group of patients who fail to respond, or lose response, to TNF or IL-17 inhibitors and this technology will offer an alternative treatment option.

2. Yes – improve pain, disease activity and quality of life for patients who have not responded to used therapies currently in use. Yes – drug with new mechanism of action. There is significant unmet need for a group of patients who fail to respond, or lose response, to TNF or IL-17 inhibitors and this technology will offer an alternative treatment option."
"Quizartinib_for_induction,_consolidation_and_maintenance_treatment_of_newly_diagnosed_FLT3-ITD-positive_acute_myeloid_leukaemia.pdf","1. Given the absence of a direct comparison between the new technology (drug) and current care, it is challenging to determine whether the new technology represents an improvement on existing care. The addition of quizartinib to chemotherapy does, however, provide an alternative option for patients with AML characterized by FLT3-ITD who may be intolerant to current care with midostaurin (until transplantation) or maintenance/continuation therapy with azacitidine (in non-transplant candidates) or sorafenib (in the post-transplant setting).

2. Reducing the risk of relapse is a significant improvement for patients, psychologically and a substantial health-related benefit.
There are no other additional factors affecting QALY.

This technology is a step change as it uses a significantly more potent, second-generation Flt3 inhibitor, across a much larger age range and uniformly through all stages of treatment ie induction, consolidation and maintenance in transplanted and non-transplanted patients.

3. Without any prospective / direct clinical trial comparison to current standard of care it is really not possible for me to conclude that this new technology represents a 'step change' in management of AML as we simply don’t know whether it is better to combine 1st or 2nd generation TKIs with intensive chemotherapy. The results of RATIFY and QUANTUM-First are broadly similar.

If quizartinib were to be approved for IC-fit patients >60yrs, then it would represent a potential advance for those patients (although they currently able to access midostaurin as NICE approval of midostaurin is ‘age agnostic’)."
Nivolumab_for_advanced_squamous_non-small-cell_lung_cancer_after_chemotherapy.pdf,NULL
Trastuzumab_emtansine_for_treating_HER2-positive_advanced_breast_cancer_after_trastuzumab_and_a_taxane.pdf,NULL
Brentuximab_vedotin_for_treating_CD30-positive_cutaneous_T-cell_lymphoma.pdf,"1. It will provide another treatment option for patients which will likely alleviate symptoms and reduce tumour burden, increasing quality of life. Yes, few current effective treatment options, usually exhausted.

2. Yes – quality/depth and durability of clinical response offer significant potential to reduce huge patient morbidity as outlined above. In addition, toxicity is manageable and has not increased rates of sepsis which is currently seen with standard chemotherapy regimes."
Lutetium_(177Lu)_oxodotreotide_for_treating_unresectable_or_metastatic_neuroendocrine_tumours.pdf,NULL
"Abemaciclib_with_endocrine_therapy_for_adjuvant_treatment_of_hormone_receptor-positive,_HER2-negative,_node-positive_early_breast_cancer_at_high_risk_of_recurrence.pdf","1. As above regarding reducing risk of recurrence iDFS and DFRS (please see above)

Yes, it is. This is the first time ER+ HER2-ve early breast cancer patients with high-risk disease features will be offered an additional to AI treatment that will reduce/delay the risk of recurrence, Whether this will result in an improvement in OS this remains to be shown."
Pembrolizumab_for_treating_locally_advanced_or_metastatic_urothelial_carcinoma_after_platinum-containing_chemotherapy.pdf,"1. Bladder Cancer has had relatively little research and new treatment development in recent decades. Despite it being one of the 10 most prevalent cancers, and very expensive for the NHS to treat, mortality rates of c50% have shown NO improvement in the past 30 years. The mechanism of this new drug is different from anything available to treat BC today, hence the treatment is highly innovative. ABC UK supports the licencing and use of the treatment within the NHS. Ideally more research could be commissioned to optimise the treatment regimen and to better understand the mechanism of treatment, ultimately leading to biomarkers to identify patients for whom the treatment would be effective/ineffective.
The treatment is highly innovative. 
The treatment gives hope to many for whom other treatment options have been exhausted.
Further research/trials to optimise the treatment and develop biomarkers would be highly desirable.
Consideration should be given for research/trails for use of the treatment earlier in the disease progress and/or as a primary treatment.

2. Yes in the sense that we had been using chemotherapy for a few decades with no new options for treatment or improvement in outcomes and KEYNOTE-045 introduced the use of an entirely different therapeutic approach with pembrolizumab. As described above, outcomes are poor and pembrolizumab extends survival with less toxicity from treatment."
Dinutuximab_beta_for_treating_neuroblastoma.pdf,"1. The technology introduces a new treatment modality into a multi-modality treatment regime. A randomised trial of a similar (but different) technology – dinutuximab, has shown significant improvement in 2 year EFS and OS in those receiving dinutuximab (in conjunction with cytokines IL-2 and GM-CSF), compared to those treated with cis-retinoic acid alone (Yu et al., NEJM 2010). Data presented at SIOP 2017 conference (Washington) compared results (EFS and OS) of patients treated with dinutuximab beta on the SIOPEN HR-NBL-1 trial with those treated with dinutuximab in the NEJM paper. The outcomes are shown to be comparable, suggesting that efficacy of dinutuximab and dinutuximab beta may be similar.

This trial comparison cannot substitute a direct randomised trial of dinutuximab beta vs control, but it would no longer be acceptable to professionals, parents and families to perform the ideal randomised trial of dinutuximab beta vs no immunotherapy treatment, because of these data and adoption of immunotherapy as standard treatment in high risk neuroblastoma in Europe and the USA.

2. The technology has resulted in a step change in the outcome of children with high risk neuroblastoma. Yes, the technology is a 'step-change' in the management of the condition and addresses a particular unmet need of the patient population."
Cabazitaxel_for_hormone-relapsed_metastatic_prostate_cancer_treated_with_docetaxel.pdf,NULL
Bimekizumab_for_treating_axial_spondyloarthritis.pdf,NULL
Fenfluramine_for_treating_seizures_associated_with_Dravet_syndrome.pdf,NULL
Brentuximab_vedotin_for_treating_CD30-positive_Hodgkin_lymphoma.pdf,"1. When first introduced, brentuximab was indeed innovative. It has now become standard of care however within its licensed indications. Yes – when it was first introduced. It was the drug with highest demonstrated single agent activity in Hodgkin lymphoma. Yes – as outlined above."
Ponesimod_for_treating_relapsing–remitting_multiple_sclerosis.pdf,"1. The technology is similar in its mechanism of action (sphingosine receptor antagonism) to another currently available DMT (fingolimod) although as a more selective drug (antagonising type 1 receptors only) may have an improved cardiac side effect profile which could allow reduced cardiac monitoring at treatment initiation compared with fingolimod. In addition, the technology has a significantly shorter half-life than fingolimod which allows for quicker wash-out if complications/side effects arise which may be an advantage by shortening time for lymphocyte recovery after treatment discontinuation. It offers further choice to the patient with active RR MS which is more efficacious than one of the other already approved DMTs in this group of first line therapies (Teriflunomide) and a further option to some people with highly active RR MS where fingolimod is currently positioned.

2. A further treatment resource to add to the current treatments available.

3. It is another SIP inhibitor drug. There may be particular advantages and a broader spectrum of eligible patients. Improve the way that current need is met? No; Not significantly.

4. No; but represents a refinement of an existing drug class and short washout which will be useful in patients considering families etc. Yes if approved for first line treatment in active disease; Yes; early more effective oral DMT."
Bevacizumab_gamma_for_treating_wet_age-related_macular_degeneration.pdf,"1. Yes.

2. It will mean we have an option of a licensed version of bevacizumab. Some clinicians and hospitals have concerns regarding using off label bevacizumab but I do not think it will materially change the health-related benefits of current care and may decrease it due to increasing treatment due to a shorter interval between treatments. It may however make treatment cheaper for drug cost but this may be offset by more frequent injections and hospital visits. Furthermore the advent of biosimilar forms of both ranibizumab and aflibercept will mean that the potential cost savings from the use of bevacizumab will be reduced."
Avelumab_for_treating_metastatic_Merkel_cell_carcinoma.pdf,"1. Yes, it is innovative — the ability of the pharmaceutical company to get phase 2 data is to be commended. This is a difficult tumour site to either set up a trial, achieve data & identify a drug that is effective. As indicated the drug is less toxic than standard and maintains patients well being to allow them to continue the 'rest of their life'. Definitely — this has the potential to allow a minority of patients to achieve reasonable outcomes (rather than the standard poor ones). Yes — this is a rare tumour type in which no specific good data has been seen until now. This opens the door to allow better management of their cancer.

2. Yes; lower toxicity than chemotherapy, safer to use and likely to produce longer lasting responses in a subset of patients. Yes."
Arsenic_trioxide_for_treating_acute_promyelocytic_leukaemia.pdf,"1. Yes I do. For APL patients this is completely transforming technology

2. Yes. For APL patients, this is completely transforming technology. The use of up-front ATO (with ATRA) has transformed this hyper-acute, once rapidly fatal disease into the most highly curable acute leukemia in adults without the requirement for administering chemotherapy. First-line therapy with ATO is associated with a very low risk of relapse in APL. This compares with current chemotherapy where the relapse risk is at least 20%. ATO is also suitable for patients who have secondary APL due to previous chemotherapy exposure or older frail patients not suitable for intensive chemotherapy. At present, in order to gain access to ATO, an independent funding request demonstrating exceptionality needs to be completed for each individual patient placing a considerable administrative burden on physicians and delaying access to treatment in what is essentially an emergency situation.

3. Yes I do. For APL patients this is completely transforming technology. The use of upfront ATO (with ATRA) has transformed this hyper-acute, once rapidly fatal disease into the most highly curable acute leukaemia in adults without the requirement for administering chemotherapy. It is the opinion of the NCRI AML Working Group that ATO is the treatment of choice for standard risk APL patients at diagnosis and for high risk patients who have relapsed after initial treatment with AIDA chemotherapy. Yes. First line therapy with ATO is associated with a very low risk of relapse in APL. This compares with current chemotherapy where the relapse risk is at least 20%. ATO is also suitable for patients who have secondary APL due to previous chemotherapy exposure or older frail patients not suitable for intensive chemotherapy. At present, in order to gain access to ATO, an independent funding request demonstrating exceptionality needs to be completed for each individual patient placing a considerable administrative burden on physicians and delaying access to treatment in what is essentially an emergency situation."
Tenecteplase_for_treating_acute_ischaemic_stroke.pdf,"1. Current need will be met but very much more quickly. The new treatment is a step in the right direction more than a step change.

2. Yes. Easier transfers, this will release nurses to look after other patients. Use of multiple ambulance transfers (i.e., into hospital and then later to the neuroscience centre) is likely to be more streamlined in such cases in addition. There are a limited number of interventional neuroradiologists to perform mechanical thrombectomy. These operators must be concentrated in a small number of specialist centers. Anything which speeds up this necessary 'drip and ship' model would be of great benefit.

3. Tenecteplase is a single bolus thrombolytic agent with higher fibrin specificity and longer half-life than alteplase. Tenecteplase can be infused over 5 seconds versus alteplase which is infused over 60 minutes. Bolus delivery enables rapid clot exposure to high enzyme concentrations facilitating rapid fibrinolysis thereby achieving earlier vessel recanalization and reperfusion. Tenecteplase has clear practical work-flow advantages over alteplase given its relative ease of preparation and administration. This translated into objective improvements in treatment times in three different non-randomized, real-world clinical studies. A 40-min improvement in time from presentation to thrombectomy in transfer patients treated at an outside hospital was noted in one study after the transition to tenecteplase. This would have a significant impact on patient outcomes as for every 4-min delay from presentation to reperfusion, 1 of every 100 patients has a worse disability outcome (mRS increase by 1 or more). Incremental change."
Lusutrombopag_for_treating_thrombocytopenia_in_people_with_chronic_liver_disease_needing_a_planned_invasive_procedure.pdf,"1. Yes, this is an innovative approach for this patient group, and will minimize exposure to blood products, although this class of drug is used to manage thrombocytopenia in other clinical areas such as ITP and aplastic anaemia.

2. Yes, as outlined above."
Secukinumab_for_active_ankylosing_spondylitis_after_treatment_with_non-steroidal_anti-inflammatory_drugs_or_TNF-alpha_inhibitors.pdf,NULL
Brolucizumab_for_treating_diabetic_macular_oedema.pdf,"1. It may provide a meaningful impact on patients who are not responsive to current care. As a first line treatment and comparing with currently available treatment/current care, the impact is unlikely to be different. It provides an alternative effective treatment option for the condition and potentially benefiting patients who are currently not experiencing optimal response with the current care.

2. Yes, the technology is innovative, and represents a step-change in DMO management.

The particular unmet need is longer duration of drying effect: less frequent injections, and better reduction in the macular oedema, and improved visual acuity.

The RCOphth guidance on Management of Ophthalmology Services during the COVID pandemic recommends that treatment changes that can reduce the frequency of required attendances for the next few months e.g. changes in intravitreal treatment regime or longer-acting drug or procedure that would result in a lower number of hospital visits (RCOphth 2020, COVID-19 Clinical Guidance and National Information. RCOphth Management of Ophthalmology Services during the Covid pandemic dated 28th March 2020).
-During this unprecedented time of COVID-19, there is a stronger need for a therapy in phakic DMO with a predictable, extended treatment duration that would result in fewer hospital visits versus Anti-VEGF thus minimizing the risk of exposure to COVID for both the patients and healthcare worker.
-Diabetes is strongly associated with COVID-19 mortality. A nationwide analysis in England demonstrated that a ⅓ of all in-hospital deaths with COVID-19 in England occurred in people with diabetes (Barron E et al. Lancet Diabetes Endocrinol 2020; 8:813-822)."
Budesonide_orodispersible_tablet_for_inducing_remission_of_eosinophilic_oesophagitis.pdf,"1. Yes. The technology is a 'step-change' in the management of the condition and addresses an unmet need as there are no other licensed products for EoE available.

2. Yes. Topical corticosteroids are undoubtedly effective, but their use is limited by the lack of a licensed dose of product with an adequate delivery mechanism. This technology is innovative in standardising dose and improving delivery mechanism.

3. Yes, including reduction in hospital admissions with food bolus obstruction. Yes, I think it is, because the vast majority who are treated at present are with swallowed inhaled steroid preparations—and as there is such variation in drug delivery we are porbably undertreating a large population, the effect of which may not be seen until many years later when the have end organ damage. Yes, as currently there is no licensed treatment."
Evinacumab_for_treating_homozygous_familial_hypercholesterolaemia_in_people_12_years_and_over.pdf,"1. Definitely. It gives a third tool to be employed in lowering LDL in these very high risk patients, particularly where apheresis +/- Lomitapide have not been sufficient at bringing LDL-c to target.

2. This technology is a step change and has huge prospect to improve the lives of our patients. We have several patients who can tolerate neither apheresis nor lomitapide. These patients now have another option."
Pegcetacoplan_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,1. It is innovative and will make a significant and positive impact on patients. Pegcetacoplan has been shown to block intravascular haemolysis without causing an increase in extravascular haemolysis. This will lead to fewer blood transfusions and increased functioning/wellbeing of patients.
Burosumab_for_treating_X-linked_hypophosphataemia_in_adults.pdf,NULL
"Nirmatrelvir_plus_ritonavir,_sotrovimab_and_tocilizumab_for_treating_COVID-19.pdf",NULL
Ixazomib_with_lenalidomide_and_dexamethasone_for_treating_relapsed_or_refractory_multiple_myeloma.pdf,"1. Yes, because its utility is not restricted by functionality (frail patients tolerate this therapy as well as Unfit and Fit patients alike) or genetic high risk (patients with standard risk and high risk disease respond equally well). This gives true equity of access and responsiveness across the myeloma patient population, which is well known for its patients and disease heterogeneity.

2. The importance of an all-oral regime to patients is unlikely to be captured in a QALY calculation and the massive uptake of this regime during the COVID-19 pandemic speaks to the fact that this regime reduces time in hospital and on chemotherapy day units and greatly reduces the risk of nosocomial infection and patient anxiety around the pandemic. Whilst all patients benefit from the technology it is unusual for patients with high-risk cytogenetics to do as well as patients with standard risk cytogenetics. Patients with high-risk disease would be particularly disadvantaged if the technology was not available."
Nivolumab_for_previously_treated_unresectable_advanced_or_recurrent_oesophageal_cancer.pdf,1. The response area for question 16 in the provided images is blank. No text or answer to the question is visible in these images.
Iptacopan_for_treating_paroxysmal_nocturnal_haemoglobinuria.pdf,"1. Technology: the advent of oral treatments for PNH increases options for patients, to have a treatment that fits their preference and lifestyle. Iptacopan is the first oral treatment and thus is a significant step change to disease management.

Unmet needs: Iptacopan is a proximal complement inhibitor, and thus addresses both intravascular haemolysis, and prevents extravascular haemolysis. Haemoglobin increases to near normal/normal enables patients to improve their quality of life and productivity.
There are currently over 12 - 20 patients within a managed access programme to address needs not met by current available treatments.

As it is oral, patients with poor venous access and needle aversion are also treated. For patients with limited hand dexterity, pegcetacoplan is also challenging to administer."
Carfilzomib_with_dexamethasone_and_lenalidomide_for_previously_treated_multiple_myeloma.pdf,"1. Yes particularly for high risk Myeloma patients. Combination therapy for High risk MM patients in first relapse addresses the particular unmet need of the patient population.

2. Is the technology a ‘step-change’ in the management of the condition? 
Does the use of the technology address any particular unmet need of the patient population?"
Ibrutinib_for_previously_treated_chronic_lymphocytic_leukaemia_and_untreated_chronic_lymphocytic_leukaemia_with_17p_deletion_or_TP53_mutation.pdf,"1. Ibrutinib is considered innovative because it is a first-in-class compound targeting Bruton’s tyrosine kinase (BTK). This treatment has shown high efficacy in treating CLL with durable remissions and a very low toxicity profile. It is effective in difficult-to-treat groups who are less likely to respond to conventional chemotherapy, including those with 17p-/TP53 deletion/mutation."
Cabozantinib_for_treating_medullary_thyroid_cancer.pdf,"1. The technology described, vandetanib, is noted for its potential beneficial impact on health-related qualities, especially in providing a treatment option for a rare, aggressive, and symptomatically burdensome disease with limited treatment options. Vandetanib offers an innovative approach as it serves a small, distinct patient group that suffers from a chronic and severely disabling condition, medullary thyroid cancer. It aligns with important health technology assessment criteria such as expectancy of life use, and economic considerations like cost-effectiveness. Despite its high acquisition cost, the treatment may extend life, improve quality of life, and provide stability in health expenditures anticipated over a five-year period."
Cemiplimab_for_treating_advanced_cutaneous_squamous_cell_carcinoma.pdf,"1. Yes, it is innovative in that no other treatments are available for advanced cSCC. However, it is not a new treatment as has been in use through the cancer drugs fund for the past 2 years. Yes, we believe so. Yes – complete response or even just control of local progression is an extraordinary advance on any previous therapies.

2. Yes, as above I think that cemiplimab has changed the treatment paradigm for cSCC. We now have a treatment that provides effective tumor control for a significant proportion of our patients with minimal toxicity. Previously the best we could offer most of our patients was best supportive care. In practice this meant discharging patients to the care of their GP/hospice for terminal care. There is an almost complete lack of data on survival of patients with advance, metastatic sSCC. There are a number of reasons for this, but partly it is because the lack of treatment options meant that these patients were not followed up in the hospital setting and so accurate data is not there to collect. Cemiplimab now gives us a well-tolerated, effective treatment that improves survival and quality of life for these patients."
Pembrolizumab_for_treating_relapsed_or_refractory_classical_Hodgkin_lymphoma_in_people_3_years_and_over.pdf,"1. No.

2. Compared to combination chemotherapy pembrolizumab can be given less frequently (every six weeks) as a single infusion, reducing the number of hospital attendances and associated monitoring tests. Outside of the availability of pembrolizumab via the CDF there is no current standard of care, so this drug meets a need for the population under consideration. As immunotherapy pembrolizumab represents an alternative approach to cHL treatment when compared to combination chemotherapy and so at the time of its introduction could certainly have been regarded as a step-change in treatment.

3. Yes- it is definitely a 'step-change’ in the treatment of Hodgkin lymphoma, with a completely different mechanism of action to other established therapies in this condition. PD-1 inhibitors have revolutionized the treatment of many malignancies and are approved across a wide range of indications. Single-agent response rates to PD-1 inhibitors are higher in Hodgkin lymphoma than in any other cancer. These responses are seen even in heavily pre-treated patients who have failed multiple standard therapies. There is increasing recognition of the curative potential of SCT after PD-1 inhibition (see Q22)."
Inclisiran_for_treating_primary_hypercholesterolaemia_or_mixed_dyslipidaemia.pdf,"1. Yes. The major therapeutic advances in this area have been the statins in 1988, PCSK9 monoclonals in 2016, and now this one in 2021. I think however this is a 'game changer' in that it will allow a far wider and greater reduction in LDL levels than ever before with far more certainty that the drug is in the patient.. Yes in that we currently do not the treatment modalities to adequately lower LDL cholesterol in a substantial number of patients at high risk of future ASCVD events.

2. Yes. The editors of the NEJM where the ORION 10 and 11 trials were published in 2020, considered those trials to be among the 13 papers (trials) that were published in the NEJM that would transform medicine."
Remdesivir_and_tixagevimab_plus_cilgavimab_for_treating_COVID-19.pdf,NULL
Pembrolizumab_for_adjuvant_treatment_of_resected_non-small-cell_lung_cancer.pdf,"1. As a pathologist, I do not have the expertise to answer this question."
Trastuzumab_deruxtecan_for_treating_HER2-positive_unresectable_or_metastatic_breast_cancer_after_1_or_more_anti-HER2_treatments.pdf,"1. Trastuzumab deruxtecan produces unprecedented PFS rates for patients with HER2-positive metastatic breast cancer that have progressed after taxanes and trastuzumab. No similar PFS and response rate results in this setting have been seen previously in HER2+ve tumours. The Destiny O3 data show that trastuzumab deruxtecan could lead to a prolonged period when the patient’s disease is controlled with patients remaining well and able to participate in family, work, and social activities. Accessing trastuzumab deruxtecan may provide reassurance to patients that they are receiving the optimum treatment for their condition, and this can have psychological benefits. Some patients may derive hope that any prolonged progression-free and overall survival may provide a bridge to a time when other new medicines become available."
Alirocumab_for_treating_primary_hypercholesterolaemia_and_mixed_dyslipidaemia.pdf,NULL
Ceritinib_for_previously_treated_anaplastic_lymphoma_kinase_positive_non-small-cell_lung_cancer.pdf,"1. Considering a pooled median OS of 15.64 months reported across the ASCEND-2 and ASCEND-1 trials, these results suggest an extension to overall survival of approximately 10 months, well above the 3 month requirement for the end of life criteria. Furthermore, even if the OS of the entire cohort considered in the Ou et al. study is considered, 8.9 months, the extension to overall survival would still be approximately 6 months, again much greater than the 3 month limit specified by the end of life criteria. Although we acknowledge the caveats that must be associated with such naïve comparisons, in the face of the limitations imposed by the available data the only reasonable method to explore uncertainty is to compare certain against this available data. Such a comparison suggests that even if BSC was associated with the treatment benefit in terms of extension to life that resulted from use of chemotherapy in this study (a conservative assumption), certinib offers an extension to life over BSC of well above 3 months."
Empagliflozin_for_treating_chronic_kidney_disease.pdf,"1. No. The SGLT-2 inhibitor class of medication has produced a step-change in the management of CKD, with recent evidence supporting the use of empagliflozin in an expanded group of patients including those with eGFR as low as 20mL/min/1.73m²."
Brigatinib_for_treating_ALK-positive_advanced_non-small-cell_lung_cancer_after_crizotinib.pdf,"1. Yes, innovative in so far as it seems markedly more efficacious (cross trial comparisons) to ceritinib with much less toxicities and hence improved dose-intensity. There is currently a need for an efficacious non-toxic next-generation ALK inhibitor for patients progressing on crizotinib. Currently ceritinib is NICE approved for this indication (TA395). However, whilst effective, ceritinib is limited by marked toxicities (e.g. gastrointestinal) and dose reductions are frequent. This may impact on efficacy outcomes. There is therefore a need for an effective tolerable ALK inhibitor post crizotinib. Alectinib is licensed for this indication but unavailable in the UK (TA438). Hence, brigatinib would be a favoured suitable alternative to ceritinib.

2. Is the technology a 'step-change' in the management of the condition?
Does the use of the technology address any particular unmet need of the patient population?

3. Yes:
- substantially improved efficacy in the brain with duration of intracranial response not yet reached in ALTA
- broader mutational coverage and therefore potential suppression of resistant clones (including the G1202R mutation)"
Certolizumab_pegol_for_treating_rheumatoid_arthritis_after_inadequate_response_to_a_TNF-alpha_inhibitor.pdf,NULL
Obinutuzumab_with_bendamustine_for_treating_follicular_lymphoma_after_rituximab.pdf,"1. This is a glycoengineed anti-CD20 antibody and as such is innovative in my view. An improvement in progression free survival, time to next treatment and overall survival represents a significant health-related benefit for this group of patients. It is an important advance due to the reported overall survival benefit in addition to the PFS and TNTT benefit."
Peginterferon_beta-1a_for_treating_relapsing–remitting_multiple_sclerosis.pdf,"1. Peginterferon beta-1a offers the security of an established treatment combined with a less frequent (fortnightly) dosing regimen. At least comparable efficacy at reducing relapse rates compared to current beta interferon drugs. Consequent avoidance of residual disability. Established drug with well-known risk/benefit profile. Less frequent injection frequency compared to presently available beta interferon drugs which enables people to better plan their injections around work and other commitments. Improved quality of life, reduced steroid administration and fewer hospital admissions (resulting from lower relapse rate).

2. Yes. The additional pegylation of the beta-interferon molecule allows for less frequent injections and a significantly lower rate of neutralising antibody formation which may improve compliance, tolerance and potentially some possible improvement in efficacy. It offers a possibly improved method of delivery of a pre-existing molecule."
Nivolumab_for_adjuvant_treatment_of_completely_resected_melanoma_with_lymph_node_involvement_or_metastatic_disease.pdf,"1. Yes, this group of patients otherwise would have observation only, and the clinical trial data shows that the treatment reduces recurrence risk."
Atezolizumab_monotherapy_for_untreated_advanced_non-small-cell_lung_cancer.pdf,"1. 1st line immunotherapy is innovative, however atezolizumab itself, in this setting, could not be considered innovative as there is already a similar agent (pembrolizumab) available in this indication."
Durvalumab_with_chemotherapy_before_surgery_(neoadjuvant)_then_alone_after_surgery_(adjuvant)_for_treating_resectable_non-small-cell_lung_cancer.pdf,NULL
Upadacitinib_for_treating_moderate_rheumatoid_arthritis.pdf,NULL
"Nintedanib_for_previously_treated_locally_advanced,_metastatic,_or_locally_recurrent_non‑small‑cell_lung_cancer.pdf","1. Over the previous decade, no phase III study with any combination of agents has demonstrated an OS benefit versus an active comparator in second-line stage IIIB/IV NSCLC patients with adenocarcinoma histology. Thus, there is a high unmet need to improve the treatment options for these patients, in the second-line setting. It has been postulated that an effective strategy for this class of drugs may be the use of an agent targeting more than one angiogenic pathway, in combination with chemotherapy. Moreover, anti-angiogenic agents may be particularly effective in patients with adenocarcinoma histology, which has been characterised as having higher levels of microvessel density compared to other NSCLC histological subtypes.

As a unique, oral triple angiokinase inhibitor simultaneously acting on three receptor classes that have a role in angiogenesis (VEGFR, PDGFR and FGFR), nintedanib has the potential to offer important clinical benefits across a broad range of cancers. In the UK, nintedanib fits into the care pathway as an add-on therapy to docetaxel for the treatment of patients with locally advanced, metastatic or recurrent NSCLC of adenocarcinoma histology, who have progressed after one prior line of chemotherapy. Docetaxel is currently recommended by NICE Clinical Guideline 121 as a second-line therapy for patients with locally advanced or metastatic NSCLC in whom relapse has occurred after previous chemotherapy. However, there is no NICE recommended add-on therapy to second-line docetaxel. Erlotinib is recommended, within its licenced indication, as an alternative to second-line docetaxel treatment only on the basis that it is provided by the manufacturer at an overall treatment cost (including administration, AEs and monitoring costs) equal to that of docetaxel.

Nintedanib, in addition to docetaxel, would provide an alternative treatment option for adenocarcinoma patients in the second-line. This treatment combination would be the first treatment to demonstrate a significant and clinically meaningful OS benefit for second-line adenocarcinoma patients versus an active agent in a phase III clinical trial."
"Pembrolizumab_for_previously_treated_endometrial,_biliary,_colorectal,_gastric_or_small_intestine_cancer_with_high_microsatellite_instability_or_mismatch_repair_deficiency.pdf","1. Yes – there is currently no access for these patients to have immunotherapy in 3rd line/chemorefractory setting for dMMR mCRC, or in any line for the other tumor types being appraised."
Osimertinib_for_untreated_EGFR_mutation-positive_non-small-cell_lung_cancer.pdf,NULL
