Title,Decision,Decision_Date,PDF File,Application Date,Disease_Category,HT_Category
"Canagliflozin, dapagliflozin and empagliflozin as monotherapies for treating type 2 diabetes",Rejected,2016-05-25,"Canagliflozin,_dapagliflozin_and_empagliflozin_as_monotherapies_for_treating_type_2_diabetes.pdf",,Chronic,Drug
Sacubitril valsartan for treating symptomatic chronic heart failure with reduced ejection fraction,Approved,2016-04-27,Sacubitril_valsartan_for_treating_symptomatic_chronic_heart_failure_with_reduced_ejection_fraction.pdf,,"Cardiovascular, Chronic",Drug
"Topotecan, pegylated liposomal doxorubicin hydrochloride, paclitaxel, trabectedin and gemcitabine for treating recurrent ovarian cancer",Rejected,2016-04-27,"Topotecan,_pegylated_liposomal_doxorubicin_hydrochloride,_paclitaxel,_trabectedin_and_gemcitabine_for_treating_recurrent_ovarian_cancer.pdf",,"Obstetrics/Gynaecology, Cancer",Drug
Ruxolitinib for treating disease-related splenomegaly or symptoms in adults with myelofibrosis,Rejected,2016-03-23,Ruxolitinib_for_treating_disease-related_splenomegaly_or_symptoms_in_adults_with_myelofibrosis.pdf,,"Chronic, Rare Disease (Orphan Drugs)",Drug
Guidance on the use of temozolomide for the treatment of recurrent malignant glioma (brain cancer),Rejected,2001-04-26,Guidance_on_the_use_of_temozolomide_for_the_treatment_of_recurrent_malignant_glioma_(brain_cancer).pdf,,"Nervous System, Cancer",Drug
Ezetimibe for treating primary heterozygous-familial and non-familial hypercholesterolaemia,Approved,2016-02-24,Ezetimibe_for_treating_primary_heterozygous-familial_and_non-familial_hypercholesterolaemia.pdf,,"Cardiovascular, Chronic",Drug
Nivolumab for treating advanced (unresectable or metastatic) melanoma,Approved,2016-02-18,Nivolumab_for_treating_advanced_(unresectable_or_metastatic)_melanoma.pdf,2015-08,Cancer,Drug
TNF-alpha inhibitors for ankylosing spondylitis and non-radiographic axial spondyloarthritis,Conditional,2016-02-01,TNF-alpha_inhibitors_for_ankylosing_spondylitis_and_non-radiographic_axial_spondyloarthritis.pdf,,"Chronic, Musculoskeletal diseases",Drug
Enzalutamide for treating metastatic hormone-relapsed prostate cancer before chemotherapy is indicated,Approved,2016-01-27,Enzalutamide_for_treating_metastatic_hormone-relapsed_prostate_cancer_before_chemotherapy_is_indicated.pdf,,Cancer,Drug
Ramucirumab for treating advanced gastric cancer or gastro–oesophageal junction adenocarcinoma previously treated with chemotherapy,Rejected,2016-01-27,Ramucirumab_for_treating_advanced_gastric_cancer_or_gastro–oesophageal_junction_adenocarcinoma_previously_treated_with_chemotherapy.pdf,,Cancer,Drug
Nintedanib for treating idiopathic pulmonary fibrosis,Rejected,2016-01-27,Nintedanib_for_treating_idiopathic_pulmonary_fibrosis.pdf,,Rare Disease (Orphan Drugs),Drug
Panobinostat for treating multiple myeloma after at least 2 previous treatments,Approved,2016-01-27,Panobinostat_for_treating_multiple_myeloma_after_at_least_2_previous_treatments.pdf,,Cancer,Drug
Eltrombopag for treating severe aplastic anaemia refractory to immunosuppressive therapy (terminated appraisal),Rejected,2016-01-27,Eltrombopag_for_treating_severe_aplastic_anaemia_refractory_to_immunosuppressive_therapy_(terminated_appraisal).pdf,,Rare Disease (Orphan Drugs),Drug
"Adalimumab, etanercept, infliximab, certolizumab pegol, golimumab, tocilizumab and abatacept for rheumatoid arthritis not previously treated with DMARDs or after conventional DMARDs only have failed",Rejected,2016-01-26,"Adalimumab,_etanercept,_infliximab,_certolizumab_pegol,_golimumab,_tocilizumab_and_abatacept_for_rheumatoid_arthritis_not_previously_treated_with_DMARDs_or_after_conventional_DMARDs_only_have_failed.pdf",,Musculoskeletal diseases,Drug
Guidance on the use of imatinib for chronic myeloid leukaemia,Approved,2003-10-22,Guidance_on_the_use_of_imatinib_for_chronic_myeloid_leukaemia.pdf,,"Chronic, Cancer",Drug
Ciclosporin for treating dry eye disease that has not improved despite treatment with artificial tears,Approved,2015-12-16,Ciclosporin_for_treating_dry_eye_disease_that_has_not_improved_despite_treatment_with_artificial_tears.pdf,,Chronic,Drug
Bortezomib for previously untreated mantle cell lymphoma,Approved,2015-12-16,Bortezomib_for_previously_untreated_mantle_cell_lymphoma.pdf,,Cancer,Drug
"Abatacept, adalimumab, etanercept and tocilizumab for treating juvenile idiopathic arthritis",Approved,2015-12-16,"Abatacept,_adalimumab,_etanercept_and_tocilizumab_for_treating_juvenile_idiopathic_arthritis.pdf",,Musculoskeletal diseases,Drug
Erlotinib and gefitinib for treating non-small-cell lung cancer that has progressed after prior chemotherapy,Rejected,2015-12-16,Erlotinib_and_gefitinib_for_treating_non-small-cell_lung_cancer_that_has_progressed_after_prior_chemotherapy.pdf,,Cancer,Drug
Ombitasvir–paritaprevir–ritonavir with or without dasabuvir for treating chronic hepatitis C,Conditional,2015-11-25,Ombitasvir–paritaprevir–ritonavir_with_or_without_dasabuvir_for_treating_chronic_hepatitis_C.pdf,,Chronic,Drug
Vortioxetine for treating major depressive episodes,Rejected,2015-11-25,Vortioxetine_for_treating_major_depressive_episodes.pdf,,Nervous System,Drug
Ledipasvir–sofosbuvir for treating chronic hepatitis C,Rejected,2015-11-25,Ledipasvir–sofosbuvir_for_treating_chronic_hepatitis_C.pdf,,Chronic,Drug
Tolvaptan for treating autosomal dominant polycystic kidney disease,Rejected,2015-10-28,Tolvaptan_for_treating_autosomal_dominant_polycystic_kidney_disease.pdf,,"Chronic, Urinary-Track Diseases, Rare Disease (Orphan Drugs)",Drug
Idelalisib for treating chronic lymphocytic leukaemia,Rejected,2015-10-28,Idelalisib_for_treating_chronic_lymphocytic_leukaemia.pdf,,Cancer,Drug
Paclitaxel as albumin-bound nanoparticles with carboplatin for untreated non-small-cell lung cancer (terminated appraisal),Rejected,2015-10-28,Paclitaxel_as_albumin-bound_nanoparticles_with_carboplatin_for_untreated_non-small-cell_lung_cancer_(terminated_appraisal).pdf,,Cancer,Drug
Vedolizumab for treating moderately to severely active Crohn's disease after prior therapy,Rejected,2015-08-26,Vedolizumab_for_treating_moderately_to_severely_active_Crohn's_disease_after_prior_therapy.pdf,,Chronic,Drug
"Bevacizumab for treating relapsed, platinum‑resistant epithelial ovarian, fallopian tube or primary peritoneal cancer (terminated appraisal)",Rejected,2015-08-26,"Bevacizumab_for_treating_relapsed,_platinum‑resistant_epithelial_ovarian,_fallopian_tube_or_primary_peritoneal_cancer_(terminated_appraisal).pdf",,"Cancer, Obstetrics/Gynaecology",Drug
Edoxaban for treating and for preventing deep vein thrombosis and pulmonary embolism,Approved,2015-08-26,Edoxaban_for_treating_and_for_preventing_deep_vein_thrombosis_and_pulmonary_embolism.pdf,,Cardiovascular,Drug
Naloxegol for treating opioid‑induced constipation,Approved,2015-07-22,Naloxegol_for_treating_opioid‑induced_constipation.pdf,,Nervous System,Drug
Aflibercept for treating diabetic macular oedema,Rejected,2015-07-22,Aflibercept_for_treating_diabetic_macular_oedema.pdf,,Chronic,Drug
"Nintedanib for previously treated locally advanced, metastatic, or locally recurrent non‑small‑cell lung cancer",Conditional,2015-07-22,"Nintedanib_for_previously_treated_locally_advanced,_metastatic,_or_locally_recurrent_non‑small‑cell_lung_cancer.pdf",,Cancer,Drug
Everolimus for preventing organ rejection in liver transplantation,Rejected,2015-07-22,Everolimus_for_preventing_organ_rejection_in_liver_transplantation.pdf,,Rare Disease (Orphan Drugs),Drug
Secukinumab for treating moderate to severe plaque psoriasis,Rejected,2015-07-22,Secukinumab_for_treating_moderate_to_severe_plaque_psoriasis.pdf,,Musculoskeletal diseases,Drug
Cangrelor for reducing atherothrombotic events in people undergoing percutaneous coronary intervention or awaiting surgery requiring interruption of anti‑platelet therapy (terminated appraisal),Rejected,2015-07-22,Cangrelor_for_reducing_atherothrombotic_events_in_people_undergoing_percutaneous_coronary_intervention_or_awaiting_surgery_requiring_interruption_of_anti‑platelet_therapy_(terminated_appraisal).pdf,,Cardiovascular,Drug
Omalizumab for previously treated chronic spontaneous urticaria,Rejected,2015-06-08,Omalizumab_for_previously_treated_chronic_spontaneous_urticaria.pdf,,Chronic,Drug
Vedolizumab for treating moderately to severely active ulcerative colitis,Conditional,2015-06-05,Vedolizumab_for_treating_moderately_to_severely_active_ulcerative_colitis.pdf,,Chronic,Drug
Apixaban for the treatment and secondary prevention of deep vein thrombosis and/or pulmonary embolism,Approved,2015-06-04,Apixaban_for_the_treatment_and_secondary_prevention_of_deep_vein_thrombosis_and/or_pulmonary_embolism.pdf,,Cardiovascular,Drug
Obinutuzumab in combination with chlorambucil for untreated chronic lymphocytic leukaemia,Rejected,2015-06-02,Obinutuzumab_in_combination_with_chlorambucil_for_untreated_chronic_lymphocytic_leukaemia.pdf,,"Chronic, Cancer",Drug
Rivaroxaban for preventing adverse outcomes after acute management of acute coronary syndrome,Approved,2015-03-25,Rivaroxaban_for_preventing_adverse_outcomes_after_acute_management_of_acute_coronary_syndrome.pdf,,Cardiovascular,Drug
Empagliflozin in combination therapy for treating type 2 diabetes,Rejected,2015-03-25,Empagliflozin_in_combination_therapy_for_treating_type 2 diabetes.pdf,,Chronic,Drug
Rifaximin for preventing episodes of overt hepatic encephalopathy,Approved,2015-03-25,Rifaximin_for_preventing_episodes_of_overt_hepatic_encephalopathy.pdf,,"Chronic, Nervous System",Drug
"Infliximab, adalimumab and golimumab for treating moderately to severely active ulcerative colitis after the failure of conventional therapy",Conditional,2015-02-25,"Infliximab,_adalimumab_and_golimumab_for_treating_moderately_to_severely_active_ulcerative_colitis_after_the_failure_of_conventional_therapy.pdf",,Chronic,Drug
Sofosbuvir for treating chronic hepatitis C,Rejected,2015-02-25,Sofosbuvir_for_treating_chronic_hepatitis C.pdf,,Chronic,Drug
Axitinib for treating advanced renal cell carcinoma after failure of prior systemic treatment,Conditional,2015-02-25,Axitinib_for_treating_advanced_renal_cell_carcinoma_after_failure_of_prior_systemic_treatment.pdf,,Cancer,Drug
Regorafenib for metastatic colorectal cancer after treatment for metastatic disease (terminated appraisal),Rejected,2015-02-25,Regorafenib_for_metastatic_colorectal_cancer_after_treatment_for_metastatic_disease_(terminated_appraisal).pdf,,Cancer,Drug
Vemurafenib for treating locally advanced or metastatic BRAF V600 mutation‑positive malignant melanoma,Conditional,2012-12-12,Vemurafenib_for_treating_locally_advanced_or_metastatic_BRAF V600_mutation‑positive_malignant_melanoma.pdf,,Cancer,Drug
Dabigatran etexilate for the treatment and secondary prevention of deep vein thrombosis and/or pulmonary embolism,Approved,2014-12-17,Dabigatran_etexilate_for_the_treatment_and_secondary_prevention_of_deep_vein_thrombosis_and/or_pulmonary_embolism.pdf,,Cardiovascular,Drug
Erythropoiesis‑stimulating agents (epoetin and darbepoetin) for treating anaemia in people with cancer having chemotherapy,Rejected,2014-11-26,Erythropoiesis‑stimulating_agents_(epoetin_and_darbepoetin)_for_treating_anaemia_in_people_with_cancer_having_chemotherapy.pdf,,Cancer,Drug
Dual‑chamber pacemakers for symptomatic bradycardia due to sick sinus syndrome without atrioventricular block,Rejected,2014-11-26,Dual‑chamber_pacemakers_for_symptomatic_bradycardia_due_to_sick_sinus_syndrome_without_atrioventricular_block.pdf,,"Cardiovascular, Chronic",Medical Device
Nalmefene for reducing alcohol consumption in people with alcohol dependence,Approved,2014-11-26,Nalmefene_for_reducing_alcohol_consumption_in_people_with_alcohol_dependence.pdf,,Chronic,Drug
Imatinib for the adjuvant treatment of gastrointestinal stromal tumours,Rejected,2014-11-26,Imatinib_for_the_adjuvant_treatment_of_gastrointestinal_stromal_tumours.pdf,,Cancer,Drug
Dual‑chamber pacemakers for symptomatic bradycardia due to sick sinus syndrome and/or atrioventricular block,Approved,2005-02-23,Dual‑chamber_pacemakers_for_symptomatic_bradycardia_due_to_sick_sinus_syndrome_and/or_atrioventricular_block.pdf,,Cardiovascular,Medical Device
Dabrafenib for treating unresectable or metastatic BRAF V600 mutation‑positive melanoma,Conditional,2014-10-22,Dabrafenib_for_treating_unresectable_or_metastatic_BRAF V600_mutation‑positive_melanoma.pdf,,Cancer,Drug
Dimethyl fumarate for treating relapsing‑remitting multiple sclerosis,Rejected,2014-08-27,Dimethyl_fumarate_for_treating_relapsing‑remitting_multiple_sclerosis.pdf,,Nervous System,Drug
Enzalutamide for metastatic hormone‑relapsed prostate cancer previously treated with a docetaxel‑containing regimen,Conditional,2014-07-23,Enzalutamide_for_metastatic_hormone‑relapsed_prostate_cancer_previously_treated_with_a_docetaxel‑containing_regimen.pdf,,Cancer,Drug
Prasugrel with percutaneous coronary intervention for treating acute coronary syndromes,Approved,2014-07-23,Prasugrel_with_percutaneous_coronary_intervention_for_treating_acute_coronary_syndromes.pdf,,Cardiovascular,Drug
Ipilimumab for previously untreated advanced (unresectable or metastatic) melanoma,Conditional,2014-07-23,Ipilimumab_for_previously_untreated_advanced_(unresectable_or_metastatic)_melanoma.pdf,,Cancer,Drug
Canagliflozin in combination therapy for treating type 2 diabetes,Rejected,2014-06-25,Canagliflozin_in_combination_therapy_for_treating_type 2_diabetes.pdf,,Chronic,Drug
Implantable cardioverter defibrillators and cardiac resynchronisation therapy for arrhythmias and heart failure,Rejected,2014-06-25,Implantable_cardioverter_defibrillators_and_cardiac_resynchronisation_therapy_for_arrhythmias_and_heart_failure.pdf,,"Cardiovascular, Chronic",Medical Device
Teriflunomide for treating relapsing–remitting multiple sclerosis,Rejected,2014-01-22,Teriflunomide_for_treating_relapsing–remitting_multiple_sclerosis.pdf,,Nervous System,Drug
Afatinib for treating epidermal growth factor receptor mutation-positive locally advanced or metastatic non-small-cell lung cancer,Conditional,2014-04-23,Afatinib_for_treating_epidermal_growth_factor_receptor_mutation-positive_locally_advanced_or_metastatic_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Bortezomib for induction therapy in multiple myeloma before high-dose chemotherapy and autologous stem cell transplantation,Approved,2014-04-23,Bortezomib_for_induction_therapy_in_multiple_myeloma_before_high-dose_chemotherapy_and_autologous_stem_cell_transplantation.pdf,,Cancer,Drug
Rituximab in combination with glucocorticoids for treating anti-neutrophil cytoplasmic antibody-associated vasculitis,Rejected,2014-03-26,Rituximab_in_combination_with_glucocorticoids_for_treating_anti-neutrophil_cytoplasmic_antibody-associated_vasculitis.pdf,,Rare Disease (Orphan Drugs),Drug
Aflibercept in combination with irinotecan and fluorouracil-based therapy for treating metastatic colorectal cancer that has progressed following prior oxaliplatin-based chemotherapy,Rejected,2014-03-25,Aflibercept_in_combination_with_irinotecan_and_fluorouracil-based_therapy_for_treating_metastatic_colorectal_cancer_that_has_progressed_following_prior_oxaliplatin-based_chemotherapy.pdf,,Cancer,Drug
Total hip replacement and resurfacing arthroplasty for end-stage arthritis of the hip,Conditional,2014-02-26,Total_hip_replacement_and_resurfacing_arthroplasty_for_end-stage_arthritis_of_the_hip.pdf,,Musculoskeletal diseases,Medical Device
Aflibercept for treating visual impairment caused by macular oedema secondary to central retinal vein occlusion,Conditional,2014-02-26,Aflibercept_for_treating_visual_impairment_caused_by_macular_oedema_secondary_to_central_retinal_vein_occlusion.pdf,,Nervous System,Drug
Pixantrone monotherapy for treating multiply relapsed or refractory aggressive non-Hodgkin's B‑cell lymphoma,Rejected,2014-02-26,Pixantrone_monotherapy_for_treating_multiply_relapsed_or_refractory_aggressive_non-Hodgkin's_B‑cell_lymphoma.pdf,,Cancer,Drug
Peginterferon alfa and ribavirin for treating chronic hepatitis C in children and young people,Approved,2013-11-27,Peginterferon_alfa_and_ribavirin_for_treating_chronic_hepatitis C_in_children_and_young_people.pdf,,Chronic,Drug
Canakinumab for treating systemic juvenile idiopathic arthritis (terminated appraisal),Rejected,2013-11-27,Canakinumab_for_treating_systemic_juvenile_idiopathic_arthritis_(terminated_appraisal).pdf,,Musculoskeletal diseases,Drug
Peginterferon alfa and ribavirin for the treatment of mild chronic hepatitis C,Approved,2006-08-23,Peginterferon_alfa_and_ribavirin_for_the_treatment_of_mild_chronic_hepatitis_C.pdf,,Chronic,Drug
Interferon alfa (pegylated and non-pegylated) and ribavirin for the treatment of chronic hepatitis C,Approved,2004-01-28,Interferon_alfa_(pegylated_and_non-pegylated)_and_ribavirin_for_the_treatment_of_chronic_hepatitis_C.pdf,,Chronic,Drug
Pazopanib for the first-line treatment of advanced renal cell carcinoma,Approved,2011-02-23,Pazopanib_for_the_first-line_treatment_of_advanced_renal_cell_carcinoma.pdf,,Cancer,Drug
Aripiprazole for treating moderate to severe manic episodes in adolescents with bipolar I disorder,Approved,2013-07-24,Aripiprazole_for_treating_moderate_to_severe_manic_episodes_in_adolescents_with_bipolar_I_disorder.pdf,,Nervous System,Drug
Aflibercept solution for injection for treating wet age‑related macular degeneration,Conditional,2013-07-24,Aflibercept_solution_for_injection_for_treating_wet_age‑related_macular_degeneration.pdf,,Nervous System,Drug
Rivaroxaban for treating pulmonary embolism and preventing recurrent venous thromboembolism,Approved,2013-06-26,Rivaroxaban_for_treating_pulmonary_embolism_and_preventing_recurrent_venous_thromboembolism.pdf,,Cardiovascular,Drug
Mirabegron for treating symptoms of overactive bladder,Rejected,2013-06-26,Mirabegron_for_treating_symptoms_of_overactive_bladder.pdf,,Urinary-Track Diseases,Drug
Bevacizumab in combination with paclitaxel and carboplatin for first-line treatment of advanced ovarian cancer,Rejected,2013-05-22,Bevacizumab_in_combination_with_paclitaxel_and_carboplatin_for_first-line_treatment_of_advanced_ovarian_cancer.pdf,,"Cancer, Obstetrics/Gynaecology",Drug
Bevacizumab in combination with gemcitabine and carboplatin for treating the first recurrence of platinum-sensitive advanced ovarian cancer,Rejected,2013-05-22,Bevacizumab_in_combination_with_gemcitabine_and_carboplatin_for_treating_the_first_recurrence_of_platinum-sensitive_advanced_ovarian_cancer.pdf,,"Cancer, Obstetrics/Gynaecology",Drug
Loxapine inhalation for treating acute agitation and disturbed behaviours associated with schizophrenia and bipolar disorder (terminated appraisal),Rejected,2013-05-22,Loxapine_inhalation_for_treating_acute_agitation_and_disturbed_behaviours_associated_with_schizophrenia_and_bipolar_disorder_(terminated_appraisal).pdf,,Nervous System,Drug
Omalizumab for treating severe persistent allergic asthma,Conditional,2013-04-24,Omalizumab_for_treating_severe_persistent_allergic_asthma.pdf,,Chronic,Drug
Percutaneous vertebroplasty and percutaneous balloon kyphoplasty for treating osteoporotic vertebral compression fractures,Rejected,2013-04-24,Percutaneous_vertebroplasty_and_percutaneous_balloon_kyphoplasty_for_treating_osteoporotic_vertebral_compression_fractures.pdf,,Musculoskeletal diseases,Medical Device
Colistimethate sodium and tobramycin dry powders for inhalation for treating pseudomonas lung infection in cystic fibrosis,Rejected,2013-03-27,Colistimethate_sodium_and_tobramycin_dry_powders_for_inhalation_for_treating_pseudomonas_lung_infection_in_cystic_fibrosis.pdf,,Rare Disease (Orphan Drugs),Drug
Methylnaltrexone for treating opioid-induced bowel dysfunction in people with advanced illness receiving palliative care (terminated appraisal),Rejected,2013-03-27,Methylnaltrexone_for_treating_opioid-induced_bowel_dysfunction_in_people_with_advanced_illness_receiving_palliative_care_(terminated_appraisal).pdf,,Chronic,Drug
Vinflunine for the treatment of advanced or metastatic transitional cell carcinoma of the urothelial tract,Rejected,2013-01-23,Vinflunine_for_the_treatment_of_advanced_or_metastatic_transitional_cell_carcinoma_of_the_urothelial_tract.pdf,,"Cancer, Urinary-Track Diseases",Drug
Tadalafil for the treatment of symptoms associated with benign prostatic hyperplasia (terminated appraisal),Rejected,2013-01-23,Tadalafil_for_the_treatment_of_symptoms_associated_with_benign_prostatic_hyperplasia_(terminated_appraisal).pdf,,Urinary-Track Diseases,Drug
Ipilimumab for previously treated advanced (unresectable or metastatic) melanoma,Conditional,2012-12-12,Ipilimumab_for_previously_treated_advanced_(unresectable_or_metastatic)_melanoma.pdf,,Cancer,Drug
Decitabine for the treatment of acute myeloid leukaemia (terminated appraisal),Rejected,2012-12-12,Decitabine_for_the_treatment_of_acute_myeloid_leukaemia_(terminated_appraisal).pdf,,Cancer,Drug
Dronedarone for the treatment of non-permanent atrial fibrillation,Approved,2010-08-25,Dronedarone_for_the_treatment_of_non-permanent_atrial_fibrillation.pdf,,Cardiovascular,Drug
Mannitol dry powder for inhalation for treating cystic fibrosis,Approved,2012-11-28,Mannitol_dry_powder_for_inhalation_for_treating_cystic_fibrosis.pdf,,Rare Disease (Orphan Drugs),Drug
Ivabradine for treating chronic heart failure,Approved,2012-11-28,Ivabradine_for_treating_chronic_heart_failure.pdf,,"Cardiovascular, Chronic",Drug
Denosumab for the prevention of skeletal-related events in adults with bone metastases from solid tumours,Rejected,2012-10-24,Denosumab_for_the_prevention_of_skeletal-related_events_in_adults_with_bone_metastases_from_solid_tumours.pdf,,Cancer,Drug
Alteplase for treating acute ischaemic stroke,Approved,2012-09-26,Alteplase_for_treating_acute_ischaemic_stroke.pdf,,"Cardiovascular, Nervous System",Drug
Bevacizumab in combination with capecitabine for the first-line treatment of metastatic breast cancer,Rejected,2012-08-22,Bevacizumab_in_combination_with_capecitabine_for_the_first-line_treatment_of_metastatic_breast_cancer.pdf,,Cancer,Drug
Rivaroxaban for the treatment of deep vein thrombosis and prevention of recurrent deep vein thrombosis and pulmonary embolism,Approved,2012-07-25,Rivaroxaban_for_the_treatment_of_deep_vein_thrombosis_and_prevention_of_recurrent_deep_vein_thrombosis_and_pulmonary_embolism.pdf,,Cardiovascular,Drug
Erlotinib for the first-line treatment of locally advanced or metastatic EGFR-TK mutation-positive non-small-cell lung cancer,Approved,2012-06-27,Erlotinib_for_the_first-line_treatment_of_locally_advanced_or_metastatic_EGFR-TK_mutation-positive_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Botulinum toxin type A for the prevention of headaches in adults with chronic migraine,Rejected,2012-06-27,Botulinum_toxin_type A_for_the_prevention_of_headaches_in_adults_with_chronic_migraine.pdf,,"Chronic, Nervous System",Drug
Lapatinib or trastuzumab in combination with an aromatase inhibitor for the first-line treatment of metastatic hormone receptor-positive breast cancer that overexpresses HER2,Rejected,2012-06-27,Lapatinib_or_trastuzumab_in_combination_with_an_aromatase_inhibitor_for_the_first-line_treatment_of_metastatic_hormone_receptor-positive_breast_cancer_that_overexpresses_HER2.pdf,,Cancer,Drug
Rivaroxaban for the prevention of stroke and systemic embolism in people with atrial fibrillation,Approved,2012-05-23,Rivaroxaban_for_the_prevention_of_stroke_and_systemic_embolism_in_people_with_atrial_fibrillation.pdf,,"Cardiovascular, Chronic",Drug
Fingolimod for the treatment of highly active relapsing–remitting multiple sclerosis,Conditional,2012-04-25,Fingolimod_for_the_treatment_of_highly_active_relapsing–remitting_multiple_sclerosis.pdf,,Nervous System,Drug
Dabigatran etexilate for the prevention of stroke and systemic embolism in atrial fibrillation,Approved,2012-03-15,Dabigatran_etexilate_for_the_prevention_of_stroke_and_systemic_embolism_in_atrial_fibrillation.pdf,,Cardiovascular,Drug
Pharmalgen for the treatment of bee and wasp venom allergy,Approved,2012-02-22,Pharmalgen_for_the_treatment_of_bee_and_wasp_venom_allergy.pdf,,Rare Disease (Orphan Drugs),Drug
Tocilizumab for the treatment of rheumatoid arthritis,Approved,2012-02-22,Tocilizumab_for_the_treatment_of_rheumatoid_arthritis.pdf,,Musculoskeletal diseases,Drug
Rituximab for the first-line treatment of stage III-IV follicular lymphoma,Rejected,2012-01-25,Rituximab_for_the_first-line_treatment_of_stage_III-IV_follicular_lymphoma.pdf,,Cancer,Drug
Apixaban for the prevention of venous thromboembolism after total hip or knee replacement in adults,Approved,2012-01-25,Apixaban_for_the_prevention_of_venous_thromboembolism_after_total_hip_or_knee_replacement_in_adults.pdf,,Cardiovascular,Drug
"Cetuximab, bevacizumab and panitumumab for the treatment of metastatic colorectal cancer after first-line chemotherapy",Rejected,2012-01-25,"Cetuximab,_bevacizumab_and_panitumumab_for_the_treatment_of_metastatic_colorectal_cancer_after_first-line_chemotherapy.pdf",,Cancer,Drug
Bevacizumab and cetuximab for the treatment of metastatic colorectal cancer,Rejected,2007-01-24,Bevacizumab_and_cetuximab_for_the_treatment_of_metastatic_colorectal_cancer.pdf,,Cancer,Drug
Tocilizumab for the treatment of systemic juvenile idiopathic arthritis,Rejected,2011-12-14,Tocilizumab_for_the_treatment_of_systemic_juvenile_idiopathic_arthritis.pdf,,Musculoskeletal diseases,Drug
Fulvestrant for the treatment of locally advanced or metastatic breast cancer,Rejected,2011-12-14,Fulvestrant_for_the_treatment_of_locally_advanced_or_metastatic_breast_cancer.pdf,,Cancer,Drug
Mifamurtide for the treatment of osteosarcoma,Approved,2011-10-26,Mifamurtide_for_the_treatment_of_osteosarcoma.pdf,,"Cancer, Rare Disease (Orphan Drugs)",Drug
Ticagrelor for the treatment of acute coronary syndromes,Approved,2011-10-26,Ticagrelor_for_the_treatment_of_acute_coronary_syndromes.pdf,,Cardiovascular,Drug
Bortezomib and thalidomide for the first‑line treatment of multiple myeloma,Approved,2011-07-27,Bortezomib_and_thalidomide_for_the_first‑line_treatment_of_multiple_myeloma.pdf,,Cancer,Drug
Dexamethasone intravitreal implant for the treatment of macular oedema secondary to retinal vein occlusion,Approved,2011-07-27,Dexamethasone_intravitreal_implant_for_the_treatment_of_macular_oedema_secondary_to_retinal_vein_occlusion.pdf,,Chronic,Drug
Agomelatine for the treatment of major depressive episodes (terminated appraisal),Rejected,2011-07-27,Agomelatine_for_the_treatment_of_major_depressive_episodes_(terminated_appraisal).pdf,,Nervous System,Drug
Myocardial perfusion scintigraphy for the diagnosis and management of angina and myocardial infarction,Approved,2003-11-26,Myocardial_perfusion_scintigraphy_for_the_diagnosis_and_management_of_angina_and_myocardial_infarction.pdf,,Cardiovascular,Medical Device
Erlotinib monotherapy for maintenance treatment of non-small-cell lung cancer,Rejected,2011-06-29,Erlotinib_monotherapy_for_maintenance_treatment_of_non-small-cell_lung_cancer.pdf,,Cancer,Drug
Golimumab for the treatment of rheumatoid arthritis after the failure of previous disease-modifying anti-rheumatic drugs,Approved,2011-06-22,Golimumab_for_the_treatment_of_rheumatoid_arthritis_after_the_failure_of_previous_disease-modifying_anti-rheumatic_drugs.pdf,,"Chronic, Musculoskeletal diseases",Drug
Rituximab for the first-line maintenance treatment of follicular non-Hodgkin's lymphoma,Approved,2011-06-22,Rituximab_for_the_first-line_maintenance_treatment_of_follicular_non-Hodgkin's_lymphoma.pdf,,Cancer,Drug
"Cilostazol, naftidrofuryl oxalate, pentoxifylline and inositol nicotinate for the treatment of intermittent claudication in people with peripheral arterial disease",Rejected,2011-05-25,"Cilostazol,_naftidrofuryl_oxalate,_pentoxifylline_and_inositol_nicotinate_for_the_treatment_of_intermittent_claudication_in_people_with_peripheral_arterial_disease.pdf",,"Cardiovascular, Chronic",Drug
Golimumab for the treatment of psoriatic arthritis,Conditional,2011-04-27,Golimumab_for_the_treatment_of_psoriatic_arthritis.pdf,,Musculoskeletal diseases,Drug
"Azacitidine for the treatment of myelodysplastic syndromes, chronic myelomonocytic leukaemia and acute myeloid leukaemia",Approved,2011-03-23,"Azacitidine_for_the_treatment_of_myelodysplastic_syndromes,_chronic_myelomonocytic_leukaemia_and_acute_myeloid_leukaemia.pdf",,Cancer,Drug
Bevacizumab in combination with a taxane for the first-line treatment of metastatic breast cancer,Rejected,2011-02-23,Bevacizumab_in_combination_with_a_taxane_for_the_first-line_treatment_of_metastatic_breast_cancer.pdf,,Cancer,Drug
Bendamustine for the first-line treatment of chronic lymphocytic leukaemia,Approved,2011-02-23,Bendamustine_for_the_first-line_treatment_of_chronic_lymphocytic_leukaemia.pdf,,Cancer,Drug
Aripiprazole for the treatment of schizophrenia in people aged 15 to 17 years,Approved,2011-01-26,Aripiprazole_for_the_treatment_of_schizophrenia_in_people_aged_15 to 17 years.pdf,,Nervous System,Drug
Clopidogrel and modified-release dipyridamole for the prevention of occlusive vascular events,Conditional,2010-12-15,Clopidogrel_and_modified-release_dipyridamole_for_the_prevention_of_occlusive_vascular_events.pdf,,Cardiovascular,Drug
